sample_id,name_key,name,n_playlists,has_purpose,purpose_note,confidence,model
71,indie,Indie,1499,no,,,gpt-4o-mini
72,classic,classic,1486,no,,,gpt-4o-mini
73,trap,trap,1475,no,,,gpt-4o-mini
74,idk,Idk,1452,no,,,gpt-4o-mini
75,summer 2016,Summer 2016,1444,no,,,gpt-4o-mini
76,halloween,HALLOWEEN,1415,yes,for Halloween,high,gpt-4o-mini
77,beach,beach,1388,no,,,gpt-4o-mini
78,90's,90's,1330,no,,,gpt-4o-mini
79,tbt,TBT,1330,no,,,gpt-4o-mini
80,calm,calm,1284,no,,,gpt-4o-mini
81,pump up,Pump up,1261,yes,workout motivation,high,gpt-4o-mini
82,summer 17,summer 17,1244,no,,,gpt-4o-mini
83,turn up,turn up,1239,yes,party atmosphere,high,gpt-4o-mini
84,fun,FUN,1234,no,,,gpt-4o-mini
85,gospel,Gospel,1225,no,,,gpt-4o-mini
86,acoustic,acoustic,1216,no,,,gpt-4o-mini
87,love songs,Love Songs,1215,no,,,gpt-4o-mini
88,2015,2015,1208,no,,,gpt-4o-mini
89,fall,Fall,1199,no,,,gpt-4o-mini
90,stuff,Stuff,1185,no,,,gpt-4o-mini
91,fire,Fire,1169,no,,,gpt-4o-mini
92,old,old,1141,no,,,gpt-4o-mini
93,good stuff,Good stuff,1139,no,,,gpt-4o-mini
94,dubstep,Dubstep,1136,no,,,gpt-4o-mini
95,slow,slow,1132,no,,,gpt-4o-mini
96,❤️,❤️,1110,no,,,gpt-4o-mini
97,litty,Litty,1091,no,,,gpt-4o-mini
98,chill vibes,Chill Vibes,1090,no,,,gpt-4o-mini
99,bangers,bangers,1085,no,,,gpt-4o-mini
100,jam,Jam,1078,no,,,gpt-4o-mini
101,reggaeton,Reggaeton,1074,no,,,gpt-4o-mini
102,car jams,car jams,1066,yes,driving playlist,high,gpt-4o-mini
103,musicals,Musicals,1063,no,,,gpt-4o-mini
104,my songs,my songs,1055,no,,,gpt-4o-mini
105,good music,GOOD MUSIC,1049,no,,,gpt-4o-mini
106,good songs,Good songs,1049,no,,,gpt-4o-mini
107,summer 2015,summer 2015,1045,no,,,gpt-4o-mini
108,alt,ALT,1029,no,,,gpt-4o-mini
109,metal,Metal,1021,no,,,gpt-4o-mini
110,good,good,1002,no,,,gpt-4o-mini
111,salsa,Salsa,997,no,,,gpt-4o-mini
112,beats,Beats,982,no,,,gpt-4o-mini
113,soul,soul,981,no,,,gpt-4o-mini
114,house,house,975,no,,,gpt-4o-mini
115,nostalgia,nostalgia,973,no,,,gpt-4o-mini
116,mine,Mine,937,no,,,gpt-4o-mini
117,slow jams,Slow Jams,937,yes,romantic setting,high,gpt-4o-mini
118,banda,Banda,932,no,,,gpt-4o-mini
119,vibe,VIBE,932,no,,,gpt-4o-mini
120,instrumental,Instrumental,930,no,,,gpt-4o-mini
121,chill out,chill out,925,yes,relaxing background music,mid,gpt-4o-mini
122,covers,Covers,905,no,,,gpt-4o-mini
123,the feels,the feels,896,no,,,gpt-4o-mini
124,🔥🔥🔥,🔥🔥🔥,891,no,,,gpt-4o-mini
125,bachata,Bachata,884,no,,,gpt-4o-mini
126,new music,New Music,876,no,,,gpt-4o-mini
127,tb,tb,875,no,,,gpt-4o-mini
128,school,school,866,yes,school-related activities,mid,gpt-4o-mini
129,turnt,Turnt,862,yes,party atmosphere,high,gpt-4o-mini
130,tunes,Tunes,855,no,,,gpt-4o-mini
131,español,español,844,no,,,gpt-4o-mini
132,dope,Dope,838,no,,,gpt-4o-mini
133,best,Best,828,no,,,gpt-4o-mini
134,upbeat,upbeat,818,no,,,gpt-4o-mini
135,yoga,yoga,818,yes,yoga sessions,high,gpt-4o-mini
136,sad songs,Sad Songs,815,no,,,gpt-4o-mini
137,party playlist,party playlist,814,yes,celebration and fun,high,gpt-4o-mini
138,favorite songs,Favorite Songs,806,no,,,gpt-4o-mini
139,october,october,804,no,,,gpt-4o-mini
140,electronic,electronic,797,no,,,gpt-4o-mini
141,new country,New Country,791,no,,,gpt-4o-mini
142,everything,Everything,788,no,,,gpt-4o-mini
143,me,Me,785,no,,,gpt-4o-mini
144,sex,SEX,777,no,,,gpt-4o-mini
145,smooth,smooth,771,no,,,gpt-4o-mini
146,yes,yes,767,no,,,gpt-4o-mini
147,punk,Punk,763,no,,,gpt-4o-mini
148,2014,2014,760,no,,,gpt-4o-mini
149,summer 16,summer 16,760,yes,summer vibes,mid,gpt-4o-mini
150,chill music,Chill music,756,yes,relaxing background music,mid,gpt-4o-mini
151,september,september,753,no,,,gpt-4o-mini
152,kpop,KPOP,751,no,,,gpt-4o-mini
153,blues,Blues,750,no,,,gpt-4o-mini
154,mom,Mom,749,no,,,gpt-4o-mini
155,eminem,Eminem,746,no,,,gpt-4o-mini
156,wedding playlist,Wedding Playlist,745,yes,celebration and fun,high,gpt-4o-mini
157,dad,dad,741,no,,,gpt-4o-mini
158,fall 2017,Fall 2017,740,no,,,gpt-4o-mini
159,soft,soft,736,no,,,gpt-4o-mini
160,jesus,JESUS,735,no,,high,gpt-4o-mini
161,funk,funk,734,no,,high,gpt-4o-mini
162,old country,old country,730,no,,high,gpt-4o-mini
163,fall 2016,fall 2016,726,no,,high,gpt-4o-mini
164,spring,Spring,724,no,,high,gpt-4o-mini
165,spring 2017,Spring 2017,723,no,,high,gpt-4o-mini
166,jammin,Jammin,716,no,,high,gpt-4o-mini
167,august,august,700,no,,high,gpt-4o-mini
168,cool,cool,700,no,,high,gpt-4o-mini
169,my jams,my jams,700,no,,high,gpt-4o-mini
170,drake,Drake,688,no,,high,gpt-4o-mini
171,summer '17,summer '17,688,no,,high,gpt-4o-mini
172,car rides,car rides,684,yes,for car rides,high,gpt-4o-mini
173,now,now,679,no,,high,gpt-4o-mini
174,dance party,Dance Party,677,yes,for a dance party,high,gpt-4o-mini
175,bops,Bops,673,no,,high,gpt-4o-mini
176,morning,morning,673,yes,for morning listening,high,gpt-4o-mini
177,childhood,childhood,671,no,,high,gpt-4o-mini
178,homework,Homework,669,yes,for homework,high,gpt-4o-mini
179,summer 2014,Summer 2014,665,no,,high,gpt-4o-mini
180,car ride,car ride,645,yes,for a car ride,high,gpt-4o-mini
181,xmas,Xmas,645,yes,for Christmas,high,gpt-4o-mini
182,april,April,643,no,,high,gpt-4o-mini
183,bump,BUMP,643,no,,high,gpt-4o-mini
184,grad party,Grad Party,642,yes,for a graduation party,high,gpt-4o-mini
185,corridos,Corridos,641,no,,high,gpt-4o-mini
186,christmas music,Christmas music,633,yes,for Christmas music,high,gpt-4o-mini
187,easy listening,Easy Listening,633,no,,high,gpt-4o-mini
188,groovy,groovy,632,no,,high,gpt-4o-mini
189,party mix,Party mix,632,yes,for a party mix,high,gpt-4o-mini
190,vibin,Vibin,626,no,,high,gpt-4o-mini
191,new stuff,new stuff,623,no,,high,gpt-4o-mini
192,june,june,610,no,,high,gpt-4o-mini
193,new new,new new,610,no,,high,gpt-4o-mini
194,wedding songs,Wedding Songs,610,yes,for wedding songs,high,gpt-4o-mini
195,may,May,606,no,,high,gpt-4o-mini
196,🔥🔥,🔥🔥,604,no,,high,gpt-4o-mini
197,other,other,602,no,,high,gpt-4o-mini
198,emo,Emo,601,no,,high,gpt-4o-mini
199,july,July,597,no,,high,gpt-4o-mini
200,christian music,Christian music,585,no,,,gpt-4o-mini
201,piano,Piano,580,no,,,gpt-4o-mini
202,november,november,579,no,,,gpt-4o-mini
203,winter,Winter,575,yes,Winter season listening,high,gpt-4o-mini
204,march,March,574,yes,March month vibes,high,gpt-4o-mini
205,current,Current,569,no,,,gpt-4o-mini
206,groove,Groove,569,no,,,gpt-4o-mini
207,2015 top tracks,2015 Top Tracks,568,no,,,gpt-4o-mini
208,the good stuff,The Good Stuff,568,no,,,gpt-4o-mini
209,summer vibes,summer vibes,567,yes,Summer season vibes,high,gpt-4o-mini
210,dinner,Dinner,564,yes,Dinner time music,high,gpt-4o-mini
211,lol,Lol,564,no,,,gpt-4o-mini
212,fall 2015,Fall 2015,562,yes,Fall 2015 season,high,gpt-4o-mini
213,sunday,sunday,560,yes,Sunday listening,high,gpt-4o-mini
214,relaxing,Relaxing,557,yes,Relaxing music,high,gpt-4o-mini
215,home,home,552,no,,,gpt-4o-mini
216,latin,latin,552,no,,,gpt-4o-mini
217,cocktail hour,Cocktail Hour,550,yes,Cocktail hour music,high,gpt-4o-mini
218,favorite,favorite,550,no,,,gpt-4o-mini
219,feelings,feelings,550,no,,,gpt-4o-mini
220,girl power,Girl Power,545,no,,,gpt-4o-mini
221,spring 2016,Spring 2016,544,yes,Spring 2016 season,high,gpt-4o-mini
222,praise,Praise,542,no,,,gpt-4o-mini
223,classic country,Classic Country,541,no,,,gpt-4o-mini
224,folk,Folk,537,no,,,gpt-4o-mini
225,country music,Country Music,535,no,,,gpt-4o-mini
226,pre game,pre game,529,yes,Pre-game music,high,gpt-4o-mini
227,guilty pleasures,GUILTY PLEASURES,526,no,,,gpt-4o-mini
228,clean,clean,524,no,,,gpt-4o-mini
229,for you,For You,523,no,,,gpt-4o-mini
230,2000s,2000s,521,no,,,gpt-4o-mini
231,country jams,Country Jams,519,no,,,gpt-4o-mini
232,summer jams,summer jams,518,yes,Summer jams,high,gpt-4o-mini
233,broadway,broadway,517,no,,,gpt-4o-mini
234,bangerz,BANGERZ,515,no,,,gpt-4o-mini
235,fav songs,fav songs,512,no,,,gpt-4o-mini
236,hi,Hi,512,no,,,gpt-4o-mini
237,studying,Studying,509,yes,Studying music,high,gpt-4o-mini
238,sunday morning,Sunday Morning,501,yes,Sunday morning vibes,high,gpt-4o-mini
239,hip-hop,Hip-Hop,500,no,,,gpt-4o-mini
240,mixtape,mixtape,500,no,,,gpt-4o-mini
241,my favorites,My favorites,499,no,,,gpt-4o-mini
242,kids,kids,496,no,,,gpt-4o-mini
243,december,december,489,no,,,gpt-4o-mini
244,old songs,Old songs,485,no,,,gpt-4o-mini
245,sleepy,Sleepy,478,yes,for sleeping,high,gpt-4o-mini
246,old skool,Old skool,476,no,,,gpt-4o-mini
247,motown,motown,475,no,,,gpt-4o-mini
248,hiphop,hiphop,472,no,,,gpt-4o-mini
249,chill rap,Chill rap,471,no,,,gpt-4o-mini
250,soundtracks,SOUNDTRACKS,471,no,,,gpt-4o-mini
251,werk,WERK,471,yes,for working,mid,gpt-4o-mini
252,gaming,Gaming,468,yes,for gaming,high,gpt-4o-mini
253,texas country,Texas Country,467,no,,,gpt-4o-mini
254,the best,the best,467,no,,,gpt-4o-mini
255,rainy day,Rainy Day,464,yes,for rainy days,high,gpt-4o-mini
256,ok,ok,462,no,,,gpt-4o-mini
257,camp,Camp,459,no,,,gpt-4o-mini
258,bumpin,bumpin,455,no,,,gpt-4o-mini
259,new songs,New Songs,454,no,,,gpt-4o-mini
260,chillax,Chillax,452,yes,for relaxing,mid,gpt-4o-mini
261,slow jamz,Slow jamz,452,no,,,gpt-4o-mini
262,electro,electro,450,no,,,gpt-4o-mini
263,all,ALL,449,no,,,gpt-4o-mini
264,latino,Latino,449,no,,,gpt-4o-mini
265,summer country,summer country,446,yes,for summer,high,gpt-4o-mini
266,yo,yo,446,no,,,gpt-4o-mini
267,study music,Study Music,445,yes,for studying,high,gpt-4o-mini
268,yeet,Yeet,445,no,,,gpt-4o-mini
269,life,Life,444,no,,,gpt-4o-mini
270,summertime,Summertime,444,yes,for summer,high,gpt-4o-mini
271,focus,Focus,442,yes,for focus,high,gpt-4o-mini
272,bass,BASS,440,no,,,gpt-4o-mini
273,nice,Nice,440,no,,,gpt-4o-mini
274,trip,Trip,439,no,,,gpt-4o-mini
275,summer 2013,Summer 2013,436,no,,,gpt-4o-mini
276,vibez,Vibez,436,no,,,gpt-4o-mini
277,main,Main,433,no,,,gpt-4o-mini
278,my country,my country,428,no,,,gpt-4o-mini
279,workout playlist,workout playlist,427,yes,for working out,high,gpt-4o-mini
280,bluegrass,bluegrass,425,no,,high,gpt-4o-mini
281,hits,Hits,423,no,,high,gpt-4o-mini
282,windows down,windows down,423,yes,driving with windows down,high,gpt-4o-mini
283,2013,2013,421,no,,high,gpt-4o-mini
284,road trippin,road trippin,420,yes,road trip music,high,gpt-4o-mini
285,church,Church,419,no,,high,gpt-4o-mini
286,throw back,Throw back,419,no,,high,gpt-4o-mini
287,boat,boat,418,no,,high,gpt-4o-mini
288,college,college,418,no,,high,gpt-4o-mini
289,everyday,Everyday,418,no,,high,gpt-4o-mini
290,autumn,AUTUMN,414,yes,autumn vibes,mid,gpt-4o-mini
291,fresh,Fresh,414,no,,high,gpt-4o-mini
292,travel,travel,412,yes,music for traveling,high,gpt-4o-mini
293,yup,Yup,410,no,,high,gpt-4o-mini
294,spanish music,Spanish Music,409,no,,high,gpt-4o-mini
295,rnb,Rnb,406,no,,high,gpt-4o-mini
296,reception,Reception,405,yes,wedding reception music,high,gpt-4o-mini
297,party music,party music,404,yes,music for parties,high,gpt-4o-mini
298,songs i like,Songs I Like,403,no,,high,gpt-4o-mini
299,january,January,399,no,,high,gpt-4o-mini
300,yeah,Yeah,399,no,,high,gpt-4o-mini
301,instrumentals,Instrumentals,398,no,,high,gpt-4o-mini
302,car playlist,car playlist,397,yes,music for car rides,high,gpt-4o-mini
303,techno,techno,393,no,,high,gpt-4o-mini
304,awesome,Awesome,391,no,,high,gpt-4o-mini
305,my favs,My favs,390,no,,high,gpt-4o-mini
306,summa,Summa,390,no,,high,gpt-4o-mini
307,trance,Trance,390,no,,high,gpt-4o-mini
308,cruise,CRUISE,388,yes,music for cruising,high,gpt-4o-mini
309,pre-game,Pre-game,387,yes,music for pre-game,high,gpt-4o-mini
310,#boostyourrun,#boostyourrun,386,yes,boost your run,high,gpt-4o-mini
311,lake,lake,386,no,,high,gpt-4o-mini
312,the playlist,The PLayliSt,386,no,,high,gpt-4o-mini
313,jesus jams,jesus jams,385,no,,high,gpt-4o-mini
314,may 2017,MAY 2017,384,no,,high,gpt-4o-mini
315,pool,Pool,384,yes,music for pool time,high,gpt-4o-mini
316,rainy days,Rainy days,377,yes,music for rainy days,high,gpt-4o-mini
317,slaps,Slaps,376,no,,high,gpt-4o-mini
318,old school rap,Old School Rap,375,no,,high,gpt-4o-mini
319,basketball,basketball,374,yes,music for basketball,high,gpt-4o-mini
320,pump,pump,374,yes,workout motivation,high,gpt-4o-mini
321,cumbias,CUMBIAS,372,no,,,gpt-4o-mini
322,sunshine,Sunshine,372,no,,,gpt-4o-mini
323,the classics,The Classics,371,no,,,gpt-4o-mini
324,70s,70s,370,no,,,gpt-4o-mini
325,sexy,sexy,370,no,,,gpt-4o-mini
326,yuh,Yuh,370,no,,,gpt-4o-mini
327,summer 2k17,SUMMER 2k17,368,yes,summer vibes,mid,gpt-4o-mini
328,summer '16,Summer '16,367,yes,summer vibes,mid,gpt-4o-mini
329,whatever,whatever,366,no,,,gpt-4o-mini
330,pop punk,Pop Punk,365,no,,,gpt-4o-mini
331,aux,Aux,364,no,,,gpt-4o-mini
332,funky,funky,364,no,,,gpt-4o-mini
333,ride,ride,363,yes,road trip,mid,gpt-4o-mini
334,sing,Sing,363,yes,sing-along,high,gpt-4o-mini
335,throwback jams,Throwback Jams,363,yes,nostalgic hits,high,gpt-4o-mini
336,xxx,XXX,363,no,,,gpt-4o-mini
337,spring break,SpRiNg BrEaK,362,yes,spring break,high,gpt-4o-mini
338,cruisin,Cruisin,361,yes,cruising,high,gpt-4o-mini
339,rain,rain,361,no,,,gpt-4o-mini
340,cardio,CARDIO,360,yes,workout,high,gpt-4o-mini
341,2000's,2000's,359,no,,,gpt-4o-mini
342,cleaning,cleaning,358,yes,cleaning,high,gpt-4o-mini
343,comedy,Comedy,357,no,,,gpt-4o-mini
344,easy,easy,357,no,,,gpt-4o-mini
345,summer playlist,Summer Playlist,357,yes,summer playlist,high,gpt-4o-mini
346,vibin',vibin',357,no,,,gpt-4o-mini
347,old jams,Old Jams,355,no,,,gpt-4o-mini
348,christian rap,Christian rap,354,no,,,gpt-4o-mini
349,wedding reception,Wedding Reception,353,yes,wedding event,high,gpt-4o-mini
350,gold,Gold,352,no,,,gpt-4o-mini
351,california,california,350,no,,,gpt-4o-mini
352,goodies,Goodies,350,no,,,gpt-4o-mini
353,flow,flow,349,no,,,gpt-4o-mini
354,nye,NYE,349,yes,new year's eve,high,gpt-4o-mini
355,february,february,348,no,,,gpt-4o-mini
356,getting ready,getting ready,348,yes,getting ready,high,gpt-4o-mini
357,middle school,Middle School,347,no,,,gpt-4o-mini
358,spring 2015,Spring 2015,347,no,,,gpt-4o-mini
359,lifting,Lifting,346,yes,weight lifting,high,gpt-4o-mini
360,rock en español,Rock en español,343,no,,,gpt-4o-mini
361,partay,Partay,342,yes,party atmosphere,high,gpt-4o-mini
362,musica,Musica,341,no,,,gpt-4o-mini
363,feel good music,Feel good music,339,no,,,gpt-4o-mini
364,workout music,Workout Music,339,yes,workout session,high,gpt-4o-mini
365,birthday,birthday,338,yes,birthday celebration,high,gpt-4o-mini
366,aye,aye,337,no,,,gpt-4o-mini
367,winter 2016,winter 2016,336,no,,,gpt-4o-mini
368,disco,Disco,335,no,,,gpt-4o-mini
369,play it forward,Play it forward,335,no,,,gpt-4o-mini
370,workout mix,workout mix,334,yes,workout session,high,gpt-4o-mini
371,motivation,Motivation,333,yes,motivational boost,high,gpt-4o-mini
372,party time,Party time,333,yes,party atmosphere,high,gpt-4o-mini
373,christmas songs,Christmas songs,330,yes,Christmas celebration,high,gpt-4o-mini
374,sing along,sing along,330,yes,singing along,mid,gpt-4o-mini
375,soundhound,SoundHound,330,no,,,gpt-4o-mini
376,high school,high school,329,no,,,gpt-4o-mini
377,lift,lift,328,yes,lifting weights,high,gpt-4o-mini
378,july 2017,July 2017,327,no,,,gpt-4o-mini
379,zumba,Zumba,325,yes,Zumba workout,high,gpt-4o-mini
380,70's,70's,324,no,,,gpt-4o-mini
381,good country,Good Country,324,no,,,gpt-4o-mini
382,march 2017,March 2017,324,no,,,gpt-4o-mini
383,girls,Girls,323,no,,,gpt-4o-mini
384,april 2017,April 2017,322,no,,,gpt-4o-mini
385,fall 2014,Fall 2014,322,no,,,gpt-4o-mini
386,house party,house party,321,yes,house party,high,gpt-4o-mini
387,dub,DUB,320,no,,,gpt-4o-mini
388,jesus music,Jesus music,320,no,,,gpt-4o-mini
389,christmas!,Christmas!,319,yes,Christmas celebration,high,gpt-4o-mini
390,june 2017,June 2017,317,no,,,gpt-4o-mini
391,game day,Game Day,316,yes,game day,high,gpt-4o-mini
392,hard rock,Hard rock,316,no,,,gpt-4o-mini
393,plane,plane,316,no,,,gpt-4o-mini
394,friday,friday,315,yes,Friday vibe,mid,gpt-4o-mini
395,heavy,Heavy,315,no,,,gpt-4o-mini
396,best songs,Best songs,314,no,,,gpt-4o-mini
397,good times,Good Times,314,no,,,gpt-4o-mini
398,vegas,VEGAS,314,no,,,gpt-4o-mini
399,misc,Misc,313,no,,,gpt-4o-mini
400,sleepy time,Sleepy Time,312,yes,for relaxation and sleep,high,gpt-4o-mini
401,blue,Blue,310,no,,,gpt-4o-mini
402,chilling,Chilling,310,no,,,gpt-4o-mini
403,on the road,on the road,310,yes,for road trips,high,gpt-4o-mini
404,all the feels,All the Feels,309,no,,,gpt-4o-mini
405,slow songs,slow songs,309,no,,,gpt-4o-mini
406,warm up,Warm Up,309,yes,for warming up,high,gpt-4o-mini
407,you,YOU,309,no,,,gpt-4o-mini
408,country favorites,Country favorites,308,no,,,gpt-4o-mini
409,car music,car music,306,yes,for driving,high,gpt-4o-mini
410,prom,PROM,306,no,,,gpt-4o-mini
411,memories,Memories,305,no,,,gpt-4o-mini
412,chillin',Chillin',304,no,,,gpt-4o-mini
413,high,high,303,no,,,gpt-4o-mini
414,snowboarding,Snowboarding,303,yes,for snowboarding,high,gpt-4o-mini
415,meditation,MEDITATION,302,yes,for meditation,high,gpt-4o-mini
416,old rock,Old Rock,302,no,,,gpt-4o-mini
417,volleyball,Volleyball,302,yes,for playing volleyball,high,gpt-4o-mini
418,old school hip hop,Old School Hip Hop,301,no,,,gpt-4o-mini
419,rage,Rage,301,no,,,gpt-4o-mini
420,happiness,Happiness,300,no,,,gpt-4o-mini
421,my mix,My mix,300,no,,,gpt-4o-mini
422,og,OG,300,no,,,gpt-4o-mini
423,good morning,Good Morning,299,yes,for morning routines,high,gpt-4o-mini
424,listen,Listen,298,no,,,gpt-4o-mini
425,country mix,Country Mix,297,no,,,gpt-4o-mini
426,today,today,296,no,,,gpt-4o-mini
427,september 2017,SEPTEMBER 2017,295,no,,,gpt-4o-mini
428,old rap,old rap,292,no,,,gpt-4o-mini
429,august 2017,August 2017,291,no,,,gpt-4o-mini
430,k-pop,K-Pop,291,no,,,gpt-4o-mini
431,soft rock,Soft rock,291,no,,,gpt-4o-mini
432,inspiration,Inspiration,289,no,,,gpt-4o-mini
433,lit🔥,LIT🔥,288,no,,,gpt-4o-mini
434,football,football,287,yes,for football games,high,gpt-4o-mini
435,breathe,breathe,285,yes,for breathing exercises,mid,gpt-4o-mini
436,summer17,Summer17,285,no,,,gpt-4o-mini
437,¯\_(ツ)_/¯,¯\_(ツ)_/¯,285,no,,,gpt-4o-mini
438,#tbt,#tbt,284,no,,,gpt-4o-mini
439,lounge,lounge,284,no,,,gpt-4o-mini
440,ratchet,ratchet,284,no,,,gpt-4o-mini
441,4th of july,4th of july,283,yes,4th of July celebration,high,gpt-4o-mini
442,dance music,dance music,282,no,,,gpt-4o-mini
443,punk rock,Punk Rock,282,no,,,gpt-4o-mini
444,freestyle,Freestyle,281,no,,,gpt-4o-mini
445,meh,meh,280,no,,,gpt-4o-mini
446,new jams,New jams,280,no,,,gpt-4o-mini
447,english,English,278,no,,,gpt-4o-mini
448,up,Up,278,no,,,gpt-4o-mini
449,hindi,Hindi,277,no,,,gpt-4o-mini
450,hymns,hymns,277,no,,,gpt-4o-mini
451,october 2017,October 2017,277,no,,,gpt-4o-mini
452,pool party,Pool Party,277,yes,Pool party atmosphere,high,gpt-4o-mini
453,work it out,Work It Out,277,yes,Workout motivation,high,gpt-4o-mini
454,baby,Baby,276,no,,,gpt-4o-mini
455,all songs,all songs,275,no,,,gpt-4o-mini
456,its lit,its lit,275,no,,,gpt-4o-mini
457,jazzy,jazzy,275,no,,,gpt-4o-mini
458,right now,right now,274,no,,,gpt-4o-mini
459,sexy time,Sexy time,273,yes,Romantic setting,mid,gpt-4o-mini
460,alex,Alex,272,no,,,gpt-4o-mini
461,bbq,BBQ,272,yes,Barbecue gathering,high,gpt-4o-mini
462,fiesta,Fiesta,272,yes,Fiesta celebration,high,gpt-4o-mini
463,my high-intensity workout,My High-Intensity Workout,272,yes,High-intensity workout,high,gpt-4o-mini
464,pumped,pumped,272,no,,,gpt-4o-mini
465,my jam,My Jam,271,no,,,gpt-4o-mini
466,wake up,wake up,271,yes,Morning routine,high,gpt-4o-mini
467,bruh,bruh,270,no,,,gpt-4o-mini
468,deep,deep,270,no,,,gpt-4o-mini
469,17,17,269,no,,,gpt-4o-mini
470,dancehall,Dancehall,269,no,,,gpt-4o-mini
471,deep house,Deep House,269,no,,,gpt-4o-mini
472,january 2017,january 2017,269,no,,,gpt-4o-mini
473,old music,Old music,269,no,,,gpt-4o-mini
474,worship music,Worship Music,269,no,,,gpt-4o-mini
475,america,America,268,no,,,gpt-4o-mini
476,french,French,267,no,,,gpt-4o-mini
477,idek,idek,267,no,,,gpt-4o-mini
478,electronica,Electronica,265,no,,,gpt-4o-mini
479,gameday,Gameday,265,yes,Game day atmosphere,high,gpt-4o-mini
480,quiet,quiet,265,no,,,gpt-4o-mini
481,get pumped,Get pumped,264,yes,motivational for workouts,high,gpt-4o-mini
482,chillout,Chillout,263,no,,,gpt-4o-mini
483,good tunes,good tunes,262,no,,,gpt-4o-mini
