track_uri,track_name,artist_name,total_count,dominant_category,confidence,entropy,distribution
spotify:track:0XUfyU2QviPAs6bxSpXYG4,Yeah!,Usher,764,Party,0.5262,2.1359,"{""Romance/Wedding"": 0.07591623036649214, ""Party"": 0.5261780104712042, ""Workout"": 0.18324607329842932, ""Driving"": 0.12041884816753927, ""Gaming"": 0.01832460732984293, ""Study/Focus"": 0.013089005235602094, ""Seasonal/Summer"": 0.034031413612565446, ""Holiday"": 0.013089005235602094, ""Sleep/Relax"": 0.005235602094240838, ""DailyRoutine"": 0.009162303664921465, ""Worship"": 0.0013089005235602095}"
spotify:track:12lZTPlXwUtrQuhEty6098,Raise Your Glass,P!nk,171,Party,0.3743,2.2585,"{""Romance/Wedding"": 0.09941520467836257, ""Party"": 0.3742690058479532, ""Workout"": 0.29239766081871343, ""Driving"": 0.15204678362573099, ""Seasonal/Summer"": 0.029239766081871343, ""DailyRoutine"": 0.005847953216374269, ""Sleep/Relax"": 0.023391812865497075, ""Study/Focus"": 0.017543859649122806, ""Holiday"": 0.005847953216374269}"
spotify:track:3Xv5C02Wxlek0dmrYAM5A8,Cha Cha Slide - Original Live Platinum Band Mix,Mr. C The Slide Man,37,Party,0.6757,1.3006,"{""Romance/Wedding"": 0.24324324324324326, ""Party"": 0.6756756756756757, ""DailyRoutine"": 0.02702702702702703, ""Sleep/Relax"": 0.02702702702702703, ""Workout"": 0.02702702702702703}"
spotify:track:3zByVQLvdXUaDTubfWkpCk,Sweet Caroline,Neil Diamond,350,Party,0.4,2.4867,"{""Romance/Wedding"": 0.1657142857142857, ""DailyRoutine"": 0.04857142857142857, ""Party"": 0.4, ""Study/Focus"": 0.022857142857142857, ""Driving"": 0.19714285714285715, ""Seasonal/Summer"": 0.09142857142857143, ""Gaming"": 0.017142857142857144, ""Workout"": 0.022857142857142857, ""Holiday"": 0.005714285714285714, ""Sleep/Relax"": 0.02857142857142857}"
spotify:track:07Tx168RSsUS1HqkDIOZbH,Cupid Shuffle,Cupid,182,Party,0.5769,1.6038,"{""Romance/Wedding"": 0.3021978021978022, ""Party"": 0.5769230769230769, ""Workout"": 0.06043956043956044, ""Study/Focus"": 0.005494505494505495, ""Seasonal/Summer"": 0.016483516483516484, ""Driving"": 0.01098901098901099, ""DailyRoutine"": 0.01098901098901099, ""Holiday"": 0.016483516483516484}"
spotify:track:1dzQoRqT5ucxXVaAhTcT0J,Just Dance,Lady Gaga,244,Party,0.4959,2.183,"{""Romance/Wedding"": 0.10245901639344263, ""Party"": 0.4959016393442623, ""Workout"": 0.20491803278688525, ""Driving"": 0.0860655737704918, ""DailyRoutine"": 0.02459016393442623, ""Seasonal/Summer"": 0.040983606557377046, ""Study/Focus"": 0.03278688524590164, ""Holiday"": 0.004098360655737705, ""Sleep/Relax"": 0.00819672131147541}"
spotify:track:0jDWRUbxSn8zQlwFbeLHwo,Evacuate The Dancefloor,Cascada,51,Party,0.4314,2.255,"{""Romance/Wedding"": 0.058823529411764705, ""Party"": 0.43137254901960786, ""Workout"": 0.23529411764705882, ""Driving"": 0.13725490196078433, ""Seasonal/Summer"": 0.058823529411764705, ""Study/Focus"": 0.0392156862745098, ""DailyRoutine"": 0.0392156862745098}"
spotify:track:0DiWol3AO6WpXZgp0goxAV,One More Time,Daft Punk,166,Party,0.4277,2.294,"{""Romance/Wedding"": 0.14457831325301204, ""Party"": 0.42771084337349397, ""Driving"": 0.0783132530120482, ""Workout"": 0.2469879518072289, ""Study/Focus"": 0.018072289156626505, ""Sleep/Relax"": 0.03614457831325301, ""Gaming"": 0.018072289156626505, ""Holiday"": 0.006024096385542169, ""DailyRoutine"": 0.012048192771084338, ""Seasonal/Summer"": 0.012048192771084338}"
spotify:track:6ebkx7Q5tTxrCxKq4GYj0Y,Club Can't Handle Me (feat. David Guetta) - Feat. David Guetta,Flo Rida,125,Party,0.416,2.1119,"{""Romance/Wedding"": 0.088, ""Party"": 0.416, ""Driving"": 0.04, ""Workout"": 0.36, ""Study/Focus"": 0.024, ""Seasonal/Summer"": 0.024, ""DailyRoutine"": 0.016, ""Holiday"": 0.016, ""Gaming"": 0.008, ""Sleep/Relax"": 0.008}"
spotify:track:4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything,Pitbull,215,Party,0.4279,2.0836,"{""Romance/Wedding"": 0.13023255813953488, ""Party"": 0.42790697674418604, ""Workout"": 0.3209302325581395, ""Driving"": 0.046511627906976744, ""Seasonal/Summer"": 0.03255813953488372, ""Study/Focus"": 0.009302325581395349, ""DailyRoutine"": 0.013953488372093023, ""Sleep/Relax"": 0.009302325581395349, ""Gaming"": 0.004651162790697674, ""Worship"": 0.004651162790697674}"
spotify:track:7mitXLIMCflkhZiD34uEQI,Party Rock Anthem,LMFAO,262,Party,0.542,2.0344,"{""Romance/Wedding"": 0.12595419847328243, ""Party"": 0.5419847328244275, ""Workout"": 0.19083969465648856, ""Driving"": 0.05725190839694656, ""Seasonal/Summer"": 0.03816793893129771, ""Sleep/Relax"": 0.007633587786259542, ""DailyRoutine"": 0.015267175572519083, ""Holiday"": 0.007633587786259542, ""Study/Focus"": 0.007633587786259542, ""Gaming"": 0.007633587786259542}"
spotify:track:6qn9YLKt13AGvpq9jfO8py,We Found Love,Rihanna,474,Party,0.3987,2.2606,"{""Romance/Wedding"": 0.12869198312236288, ""Workout"": 0.2974683544303797, ""Party"": 0.3987341772151899, ""Sleep/Relax"": 0.008438818565400843, ""Seasonal/Summer"": 0.035864978902953586, ""Driving"": 0.0759493670886076, ""DailyRoutine"": 0.029535864978902954, ""Study/Focus"": 0.012658227848101266, ""Holiday"": 0.010548523206751054, ""Worship"": 0.002109704641350211}"
spotify:track:0VZ9xPNa6ROafP6GYYuv2S,Marry Me,Train,150,Romance/Wedding,0.44,2.3424,"{""Romance/Wedding"": 0.44, ""Party"": 0.14666666666666667, ""Study/Focus"": 0.08666666666666667, ""Sleep/Relax"": 0.17333333333333334, ""Seasonal/Summer"": 0.02, ""DailyRoutine"": 0.08666666666666667, ""Driving"": 0.02666666666666667, ""Workout"": 0.02}"
spotify:track:3H1LCvO3fVsK2HPguhbml0,Forever,Chris Brown,240,Party,0.3875,2.4722,"{""Romance/Wedding"": 0.12916666666666668, ""Party"": 0.3875, ""Driving"": 0.14583333333333334, ""Workout"": 0.19583333333333333, ""Seasonal/Summer"": 0.06666666666666667, ""Gaming"": 0.029166666666666667, ""Sleep/Relax"": 0.008333333333333333, ""DailyRoutine"": 0.020833333333333332, ""Holiday"": 0.004166666666666667, ""Study/Focus"": 0.0125}"
spotify:track:1oHNvJVbFkexQc0BpQp7Y4,Starships,Nicki Minaj,313,Party,0.4026,2.2673,"{""Romance/Wedding"": 0.054313099041533544, ""Driving"": 0.1182108626198083, ""Workout"": 0.30990415335463256, ""Party"": 0.402555910543131, ""Gaming"": 0.012779552715654952, ""Seasonal/Summer"": 0.038338658146964855, ""DailyRoutine"": 0.025559105431309903, ""Study/Focus"": 0.02875399361022364, ""Sleep/Relax"": 0.003194888178913738, ""Holiday"": 0.003194888178913738, ""Worship"": 0.003194888178913738}"
spotify:track:0CmIALzGn4vHIHJG4n3Q4z,At Last - Single Version,Etta James,167,Romance/Wedding,0.479,2.0808,"{""Romance/Wedding"": 0.47904191616766467, ""Workout"": 0.011976047904191617, ""DailyRoutine"": 0.1497005988023952, ""Party"": 0.25149700598802394, ""Holiday"": 0.005988023952095809, ""Seasonal/Summer"": 0.011976047904191617, ""Sleep/Relax"": 0.041916167664670656, ""Study/Focus"": 0.029940119760479042, ""Driving"": 0.011976047904191617, ""Gaming"": 0.005988023952095809}"
spotify:track:5uuJruktM9fMdN9Va0DUMl,Play That Funky Music,Wild Cherry,112,Party,0.4643,2.0073,"{""Romance/Wedding"": 0.3125, ""Party"": 0.4642857142857143, ""Driving"": 0.09821428571428571, ""Study/Focus"": 0.008928571428571428, ""Workout"": 0.044642857142857144, ""Sleep/Relax"": 0.017857142857142856, ""DailyRoutine"": 0.03571428571428571, ""Holiday"": 0.017857142857142856}"
spotify:track:5qnk7XRdHF0OLUVexVaRCp,Tootsie Roll,Old School Players,12,Party,0.5833,1.7807,"{""Romance/Wedding"": 0.16666666666666666, ""Party"": 0.5833333333333334, ""Workout"": 0.08333333333333333, ""Holiday"": 0.08333333333333333, ""Driving"": 0.08333333333333333}"
spotify:track:682nhC3aQtY9HwrC2P2vz4,The Way You Make Me Feel - Single Version,Michael Jackson,32,Romance/Wedding,0.4375,2.4899,"{""Romance/Wedding"": 0.4375, ""Driving"": 0.09375, ""Workout"": 0.09375, ""Party"": 0.1875, ""Seasonal/Summer"": 0.03125, ""Sleep/Relax"": 0.03125, ""DailyRoutine"": 0.0625, ""Gaming"": 0.03125, ""Study/Focus"": 0.03125}"
spotify:track:6e8Ou0wiqAzIpWb2eSxll8,Miami,Will Smith,98,Party,0.4082,2.4364,"{""Romance/Wedding"": 0.07142857142857142, ""Party"": 0.40816326530612246, ""Study/Focus"": 0.01020408163265306, ""Seasonal/Summer"": 0.10204081632653061, ""Workout"": 0.17346938775510204, ""Driving"": 0.17346938775510204, ""Gaming"": 0.030612244897959183, ""DailyRoutine"": 0.01020408163265306, ""Sleep/Relax"": 0.01020408163265306, ""Holiday"": 0.01020408163265306}"
spotify:track:5ChkMS8OtdzJeqyybCc9R5,Billie Jean,Michael Jackson,307,Party,0.4463,2.4571,"{""Romance/Wedding"": 0.16286644951140064, ""Seasonal/Summer"": 0.029315960912052116, ""Driving"": 0.14332247557003258, ""Party"": 0.44625407166123776, ""DailyRoutine"": 0.03908794788273615, ""Workout"": 0.09120521172638436, ""Study/Focus"": 0.04234527687296417, ""Sleep/Relax"": 0.019543973941368076, ""Gaming"": 0.006514657980456026, ""Holiday"": 0.019543973941368076}"
spotify:track:14CsUVcoKztExH6aSgfrfb,Is This Love - Montmartre Remix,Bob Marley & The Wailers,32,Seasonal/Summer,0.25,2.6411,"{""Romance/Wedding"": 0.15625, ""Driving"": 0.1875, ""Sleep/Relax"": 0.09375, ""Party"": 0.15625, ""Workout"": 0.125, ""Seasonal/Summer"": 0.25, ""DailyRoutine"": 0.03125}"
spotify:track:3ogtSrlbtiTamktbA0hw0E,Marry Me,Jason Derulo,82,Romance/Wedding,0.2317,2.8402,"{""Romance/Wedding"": 0.23170731707317074, ""Party"": 0.2073170731707317, ""Workout"": 0.12195121951219512, ""Study/Focus"": 0.08536585365853659, ""Driving"": 0.13414634146341464, ""Seasonal/Summer"": 0.04878048780487805, ""DailyRoutine"": 0.08536585365853659, ""Sleep/Relax"": 0.08536585365853659}"
spotify:track:1Slwb6dOYkBlWal1PGtnNg,Thinking Out Loud,Ed Sheeran,527,Romance/Wedding,0.1992,2.8573,"{""Romance/Wedding"": 0.19924098671726756, ""Driving"": 0.15939278937381404, ""Party"": 0.18026565464895636, ""Sleep/Relax"": 0.18975332068311196, ""DailyRoutine"": 0.0967741935483871, ""Study/Focus"": 0.0683111954459203, ""Seasonal/Summer"": 0.04364326375711575, ""Workout"": 0.056925996204933584, ""Holiday"": 0.003795066413662239, ""Gaming"": 0.0018975332068311196}"
spotify:track:6SKwQghsR8AISlxhcwyA9R,Marry You,Bruno Mars,219,Romance/Wedding,0.3014,2.6028,"{""Romance/Wedding"": 0.3013698630136986, ""DailyRoutine"": 0.1278538812785388, ""Sleep/Relax"": 0.0593607305936073, ""Party"": 0.2557077625570776, ""Driving"": 0.1278538812785388, ""Workout"": 0.0547945205479452, ""Study/Focus"": 0.0319634703196347, ""Seasonal/Summer"": 0.0410958904109589}"
spotify:track:14J3PO0VnhtcRa31r7Aj1L,I Could Not Ask For More,Edwin McCain,15,Romance/Wedding,0.5333,1.9899,"{""Romance/Wedding"": 0.5333333333333333, ""Sleep/Relax"": 0.2, ""Seasonal/Summer"": 0.06666666666666667, ""DailyRoutine"": 0.06666666666666667, ""Party"": 0.06666666666666667, ""Driving"": 0.06666666666666667}"
spotify:track:2qLMf6TuEC3ruGJg4SMMN6,Lucky,Jason Mraz,212,Romance/Wedding,0.283,2.7791,"{""Romance/Wedding"": 0.2830188679245283, ""Seasonal/Summer"": 0.07075471698113207, ""Driving"": 0.10377358490566038, ""Party"": 0.14150943396226415, ""DailyRoutine"": 0.14622641509433962, ""Sleep/Relax"": 0.1650943396226415, ""Study/Focus"": 0.05188679245283019, ""Workout"": 0.0330188679245283, ""Holiday"": 0.0047169811320754715}"
spotify:track:754kgU5rWscRTfvlsuEwFp,Kiss Me,Sixpence None The Richer,106,Party,0.217,2.7986,"{""Romance/Wedding"": 0.1792452830188679, ""Party"": 0.2169811320754717, ""Seasonal/Summer"": 0.0660377358490566, ""Workout"": 0.03773584905660377, ""Driving"": 0.16037735849056603, ""DailyRoutine"": 0.18867924528301888, ""Sleep/Relax"": 0.08490566037735849, ""Study/Focus"": 0.0660377358490566}"
spotify:track:5j9iuo3tMmQIfnEEQOOjxh,Best Day Of My Life,American Authors,283,Party,0.3286,2.6649,"{""Romance/Wedding"": 0.08833922261484099, ""Party"": 0.3286219081272085, ""Study/Focus"": 0.024734982332155476, ""Workout"": 0.1519434628975265, ""Seasonal/Summer"": 0.10247349823321555, ""Driving"": 0.1978798586572438, ""Sleep/Relax"": 0.0353356890459364, ""Gaming"": 0.01060070671378092, ""DailyRoutine"": 0.06007067137809187}"
spotify:track:5GorFaKkP2mLREQvhSblIg,All My Life,K-Ci & JoJo,71,Romance/Wedding,0.5211,2.0184,"{""Romance/Wedding"": 0.5211267605633803, ""Workout"": 0.014084507042253521, ""Study/Focus"": 0.028169014084507043, ""DailyRoutine"": 0.04225352112676056, ""Party"": 0.2112676056338028, ""Sleep/Relax"": 0.14084507042253522, ""Driving"": 0.028169014084507043, ""Seasonal/Summer"": 0.014084507042253521}"
spotify:track:3Fzlg5r1IjhLk2qRw667od,Dancing in the Moonlight,Toploader,87,Romance/Wedding,0.1954,2.9067,"{""Romance/Wedding"": 0.19540229885057472, ""DailyRoutine"": 0.12643678160919541, ""Driving"": 0.16091954022988506, ""Party"": 0.19540229885057472, ""Workout"": 0.10344827586206896, ""Seasonal/Summer"": 0.10344827586206896, ""Sleep/Relax"": 0.06896551724137931, ""Holiday"": 0.011494252873563218, ""Study/Focus"": 0.034482758620689655}"
spotify:track:2yNUAnFrAJkV0eilMxeA19,I Do,Colbie Caillat,45,Romance/Wedding,0.4667,1.8993,"{""Romance/Wedding"": 0.4666666666666667, ""Party"": 0.26666666666666666, ""DailyRoutine"": 0.15555555555555556, ""Workout"": 0.044444444444444446, ""Sleep/Relax"": 0.06666666666666667}"
spotify:track:557un1HgwYMuqfWGSTmnxw,Single Ladies (Put a Ring on It),Beyoncé,324,Party,0.429,2.2385,"{""Romance/Wedding"": 0.1419753086419753, ""Workout"": 0.2222222222222222, ""Party"": 0.42901234567901236, ""DailyRoutine"": 0.040123456790123455, ""Driving"": 0.12345679012345678, ""Seasonal/Summer"": 0.024691358024691357, ""Holiday"": 0.006172839506172839, ""Sleep/Relax"": 0.0030864197530864196, ""Gaming"": 0.0030864197530864196, ""Study/Focus"": 0.006172839506172839}"
spotify:track:1qHXpsRP2gwteJCPUrc9wA,You & Me,Dave Matthews Band,43,Romance/Wedding,0.2791,2.6337,"{""Romance/Wedding"": 0.27906976744186046, ""Study/Focus"": 0.09302325581395349, ""Party"": 0.20930232558139536, ""DailyRoutine"": 0.13953488372093023, ""Sleep/Relax"": 0.13953488372093023, ""Seasonal/Summer"": 0.06976744186046512, ""Driving"": 0.06976744186046512}"
spotify:track:70cTMpcgWMcR18t9MRJFjB,I Gotta Feeling,The Black Eyed Peas,384,Party,0.5078,2.2575,"{""Romance/Wedding"": 0.12760416666666666, ""Sleep/Relax"": 0.020833333333333332, ""Party"": 0.5078125, ""Workout"": 0.140625, ""Driving"": 0.10677083333333333, ""Seasonal/Summer"": 0.0390625, ""Gaming"": 0.005208333333333333, ""DailyRoutine"": 0.0234375, ""Study/Focus"": 0.010416666666666666, ""Holiday"": 0.018229166666666668}"
spotify:track:2y4lAQpi5VTNLu2ldeTdUH,We Can't Stop,Miley Cyrus,438,Party,0.468,2.2116,"{""Romance/Wedding"": 0.0273972602739726, ""Driving"": 0.15296803652968036, ""Party"": 0.4680365296803653, ""Workout"": 0.2146118721461187, ""Sleep/Relax"": 0.0091324200913242, ""Seasonal/Summer"": 0.07534246575342465, ""Study/Focus"": 0.0136986301369863, ""Holiday"": 0.01141552511415525, ""DailyRoutine"": 0.0228310502283105, ""Gaming"": 0.00228310502283105, ""Worship"": 0.00228310502283105}"
spotify:track:02UnamzTn2rySwzcMkq5qx,I Melt,Rascal Flatts,7,Romance/Wedding,0.4286,2.1281,"{""Romance/Wedding"": 0.42857142857142855, ""DailyRoutine"": 0.14285714285714285, ""Study/Focus"": 0.14285714285714285, ""Driving"": 0.14285714285714285, ""Seasonal/Summer"": 0.14285714285714285}"
spotify:track:27rSEMh30XdxOgQX7AKSaM,Summer Nights,Rascal Flatts,40,Seasonal/Summer,0.55,1.8213,"{""Romance/Wedding"": 0.075, ""Seasonal/Summer"": 0.55, ""Driving"": 0.15, ""Workout"": 0.05, ""Party"": 0.175}"
spotify:track:4t7sDpxqkUdcYHA32s9XjQ,My Wish,Rascal Flatts,78,Party,0.2179,2.7405,"{""Romance/Wedding"": 0.19230769230769232, ""Party"": 0.21794871794871795, ""Seasonal/Summer"": 0.11538461538461539, ""Sleep/Relax"": 0.15384615384615385, ""Driving"": 0.16666666666666666, ""DailyRoutine"": 0.10256410256410256, ""Study/Focus"": 0.01282051282051282, ""Workout"": 0.038461538461538464}"
spotify:track:1SLikaDhWhhhnLJC58bkFI,Life Is A Highway,Rascal Flatts,184,Driving,0.4022,2.3508,"{""Romance/Wedding"": 0.02717391304347826, ""Party"": 0.2391304347826087, ""Study/Focus"": 0.021739130434782608, ""Seasonal/Summer"": 0.17391304347826086, ""Driving"": 0.40217391304347827, ""Gaming"": 0.016304347826086956, ""Sleep/Relax"": 0.02717391304347826, ""Workout"": 0.07065217391304347, ""DailyRoutine"": 0.021739130434782608}"
spotify:track:4YjjNHtEsTX6Af4mCTupT5,Bless The Broken Road,Rascal Flatts,88,Romance/Wedding,0.25,2.7204,"{""Romance/Wedding"": 0.25, ""Party"": 0.1590909090909091, ""Seasonal/Summer"": 0.125, ""Sleep/Relax"": 0.18181818181818182, ""Driving"": 0.1590909090909091, ""Workout"": 0.03409090909090909, ""DailyRoutine"": 0.06818181818181818, ""Study/Focus"": 0.022727272727272728}"
spotify:track:59tG0RUCwkbLQtJCf8xJkq,Payback,Rascal Flatts,7,Party,0.4286,1.8424,"{""Romance/Wedding"": 0.2857142857142857, ""Driving"": 0.14285714285714285, ""Party"": 0.42857142857142855, ""Workout"": 0.14285714285714285}"
spotify:track:5xS9hkTGfxqXyxX6wWWTt4,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,113,Driving,0.2743,2.6864,"{""Romance/Wedding"": 0.04424778761061947, ""Party"": 0.24778761061946902, ""Driving"": 0.2743362831858407, ""Workout"": 0.061946902654867256, ""Seasonal/Summer"": 0.19469026548672566, ""Study/Focus"": 0.02654867256637168, ""Sleep/Relax"": 0.09734513274336283, ""DailyRoutine"": 0.017699115044247787, ""Gaming"": 0.02654867256637168, ""Holiday"": 0.008849557522123894}"
spotify:track:2CEgGE6aESpnmtfiZwYlbV,Dynamite,Taio Cruz,246,Party,0.439,2.3065,"{""Romance/Wedding"": 0.13821138211382114, ""Workout"": 0.21138211382113822, ""Party"": 0.43902439024390244, ""Seasonal/Summer"": 0.04065040650406504, ""Driving"": 0.0975609756097561, ""Sleep/Relax"": 0.024390243902439025, ""DailyRoutine"": 0.032520325203252036, ""Gaming"": 0.012195121951219513, ""Holiday"": 0.0040650406504065045}"
spotify:track:2CAK2t1reUgPK6OMgAMURB,Wasted,Tiësto,408,Party,0.4877,2.0729,"{""Romance/Wedding"": 0.01715686274509804, ""Driving"": 0.07598039215686274, ""Party"": 0.4877450980392157, ""Workout"": 0.22794117647058823, ""DailyRoutine"": 0.012254901960784314, ""Sleep/Relax"": 0.00980392156862745, ""Seasonal/Summer"": 0.14705882352941177, ""Gaming"": 0.004901960784313725, ""Study/Focus"": 0.014705882352941176, ""Holiday"": 0.0024509803921568627}"
spotify:track:1jdNcAD8Ir58RlsdGjJJdx,Ho Hey,The Lumineers,366,Party,0.1831,2.9718,"{""Romance/Wedding"": 0.12568306010928962, ""Study/Focus"": 0.09836065573770492, ""Driving"": 0.16666666666666666, ""Party"": 0.1830601092896175, ""Workout"": 0.08743169398907104, ""Sleep/Relax"": 0.16120218579234974, ""Seasonal/Summer"": 0.08469945355191257, ""Gaming"": 0.00273224043715847, ""DailyRoutine"": 0.08743169398907104, ""Holiday"": 0.00273224043715847}"
spotify:track:2QQuKHdhPoAJchgY0HPw96,Right Round - feat. Ke$ha,Flo Rida,133,Party,0.4812,2.3385,"{""Romance/Wedding"": 0.06766917293233082, ""Sleep/Relax"": 0.022556390977443608, ""Party"": 0.48120300751879697, ""Workout"": 0.20300751879699247, ""Seasonal/Summer"": 0.03007518796992481, ""Driving"": 0.10526315789473684, ""Study/Focus"": 0.022556390977443608, ""Holiday"": 0.015037593984962405, ""DailyRoutine"": 0.03759398496240601, ""Gaming"": 0.015037593984962405}"
spotify:track:3bC1ahPIYt1btJzSSEyyrF,Whistle,Flo Rida,155,Party,0.4129,2.1347,"{""Romance/Wedding"": 0.025806451612903226, ""Workout"": 0.3419354838709677, ""Party"": 0.4129032258064516, ""Driving"": 0.07741935483870968, ""Gaming"": 0.0064516129032258064, ""Seasonal/Summer"": 0.07096774193548387, ""Study/Focus"": 0.03870967741935484, ""Sleep/Relax"": 0.01935483870967742, ""DailyRoutine"": 0.0064516129032258064}"
spotify:track:2LEF1A8DOZ9wRYikWgVlZ8,Good Feeling,Flo Rida,221,Party,0.4118,2.044,"{""Romance/Wedding"": 0.08144796380090498, ""Workout"": 0.38009049773755654, ""Party"": 0.4117647058823529, ""Seasonal/Summer"": 0.049773755656108594, ""Gaming"": 0.013574660633484163, ""DailyRoutine"": 0.013574660633484163, ""Driving"": 0.02262443438914027, ""Holiday"": 0.00904977375565611, ""Sleep/Relax"": 0.00904977375565611, ""Study/Focus"": 0.00904977375565611}"
spotify:track:3TZwjdclvWt7iPJUnMpgcs,Jump Around,House Of Pain,269,Party,0.4647,2.2012,"{""Romance/Wedding"": 0.08550185873605948, ""Workout"": 0.26394052044609667, ""Party"": 0.4646840148698885, ""Driving"": 0.07434944237918216, ""Study/Focus"": 0.022304832713754646, ""Gaming"": 0.03345724907063197, ""Seasonal/Summer"": 0.03717472118959108, ""DailyRoutine"": 0.0037174721189591076, ""Holiday"": 0.007434944237918215, ""Sleep/Relax"": 0.007434944237918215}"
