sample_id,name_key,name,n_playlists,has_purpose,purpose_note,confidence,model,standard_category
174,dance party,Dance Party,677,yes,for a dance party,high,gpt-4o-mini,Party
176,morning,morning,673,yes,for morning listening,high,gpt-4o-mini,DailyRoutine
178,homework,Homework,669,yes,for homework,high,gpt-4o-mini,Study/Focus
180,car ride,car ride,645,yes,for a car ride,high,gpt-4o-mini,Driving
181,xmas,Xmas,645,yes,for Christmas,high,gpt-4o-mini,Holiday
184,grad party,Grad Party,642,yes,for a graduation party,high,gpt-4o-mini,Party
186,christmas music,Christmas music,633,yes,for Christmas music,high,gpt-4o-mini,Holiday
189,party mix,Party mix,632,yes,for a party mix,high,gpt-4o-mini,Party
194,wedding songs,Wedding Songs,610,yes,for wedding songs,high,gpt-4o-mini,Romance/Wedding
203,winter,Winter,575,yes,Winter season listening,high,gpt-4o-mini,Seasonal/Summer
204,march,March,574,yes,March month vibes,high,gpt-4o-mini,Other_Purpose
209,summer vibes,summer vibes,567,yes,Summer season vibes,high,gpt-4o-mini,Seasonal/Summer
210,dinner,Dinner,564,yes,Dinner time music,high,gpt-4o-mini,DailyRoutine
212,fall 2015,Fall 2015,562,yes,Fall 2015 season,high,gpt-4o-mini,Seasonal/Summer
213,sunday,sunday,560,yes,Sunday listening,high,gpt-4o-mini,Other_Purpose
214,relaxing,Relaxing,557,yes,Relaxing music,high,gpt-4o-mini,Sleep/Relax
217,cocktail hour,Cocktail Hour,550,yes,Cocktail hour music,high,gpt-4o-mini,Other_Purpose
221,spring 2016,Spring 2016,544,yes,Spring 2016 season,high,gpt-4o-mini,Seasonal/Summer
226,pre game,pre game,529,yes,Pre-game music,high,gpt-4o-mini,Party
232,summer jams,summer jams,518,yes,Summer jams,high,gpt-4o-mini,Seasonal/Summer
237,studying,Studying,509,yes,Studying music,high,gpt-4o-mini,Study/Focus
238,sunday morning,Sunday Morning,501,yes,Sunday morning vibes,high,gpt-4o-mini,DailyRoutine
245,sleepy,Sleepy,478,yes,for sleeping,high,gpt-4o-mini,Sleep/Relax
251,werk,WERK,471,yes,for working,mid,gpt-4o-mini,Study/Focus
252,gaming,Gaming,468,yes,for gaming,high,gpt-4o-mini,Gaming
255,rainy day,Rainy Day,464,yes,for rainy days,high,gpt-4o-mini,Other_Purpose
260,chillax,Chillax,452,yes,for relaxing,mid,gpt-4o-mini,Sleep/Relax
265,summer country,summer country,446,yes,for summer,high,gpt-4o-mini,Seasonal/Summer
267,study music,Study Music,445,yes,for studying,high,gpt-4o-mini,Study/Focus
270,summertime,Summertime,444,yes,for summer,high,gpt-4o-mini,Seasonal/Summer
271,focus,Focus,442,yes,for focus,high,gpt-4o-mini,Study/Focus
279,workout playlist,workout playlist,427,yes,for working out,high,gpt-4o-mini,Workout
282,windows down,windows down,423,yes,driving with windows down,high,gpt-4o-mini,Driving
284,road trippin,road trippin,420,yes,road trip music,high,gpt-4o-mini,Driving
290,autumn,AUTUMN,414,yes,autumn vibes,mid,gpt-4o-mini,Seasonal/Summer
292,travel,travel,412,yes,music for traveling,high,gpt-4o-mini,Party
296,reception,Reception,405,yes,wedding reception music,high,gpt-4o-mini,Romance/Wedding
297,party music,party music,404,yes,music for parties,high,gpt-4o-mini,Party
302,car playlist,car playlist,397,yes,music for car rides,high,gpt-4o-mini,Driving
308,cruise,CRUISE,388,yes,music for cruising,high,gpt-4o-mini,Driving
309,pre-game,Pre-game,387,yes,music for pre-game,high,gpt-4o-mini,Party
310,#boostyourrun,#boostyourrun,386,yes,boost your run,high,gpt-4o-mini,Other_Purpose
315,pool,Pool,384,yes,music for pool time,high,gpt-4o-mini,Seasonal/Summer
316,rainy days,Rainy days,377,yes,music for rainy days,high,gpt-4o-mini,Other_Purpose
319,basketball,basketball,374,yes,music for basketball,high,gpt-4o-mini,Other_Purpose
320,pump,pump,374,yes,workout motivation,high,gpt-4o-mini,Workout
327,summer 2k17,SUMMER 2k17,368,yes,summer vibes,mid,gpt-4o-mini,Seasonal/Summer
328,summer '16,Summer '16,367,yes,summer vibes,mid,gpt-4o-mini,Seasonal/Summer
333,ride,ride,363,yes,road trip,mid,gpt-4o-mini,Driving
334,sing,Sing,363,yes,sing-along,high,gpt-4o-mini,Other_Purpose
335,throwback jams,Throwback Jams,363,yes,nostalgic hits,high,gpt-4o-mini,Other_Purpose
337,spring break,SpRiNg BrEaK,362,yes,spring break,high,gpt-4o-mini,Seasonal/Summer
338,cruisin,Cruisin,361,yes,cruising,high,gpt-4o-mini,Driving
340,cardio,CARDIO,360,yes,workout,high,gpt-4o-mini,Workout
342,cleaning,cleaning,358,yes,cleaning,high,gpt-4o-mini,DailyRoutine
345,summer playlist,Summer Playlist,357,yes,summer playlist,high,gpt-4o-mini,Seasonal/Summer
349,wedding reception,Wedding Reception,353,yes,wedding event,high,gpt-4o-mini,Romance/Wedding
354,nye,NYE,349,yes,new year's eve,high,gpt-4o-mini,Other_Purpose
356,getting ready,getting ready,348,yes,getting ready,high,gpt-4o-mini,Other_Purpose
359,lifting,Lifting,346,yes,weight lifting,high,gpt-4o-mini,Workout
361,partay,Partay,342,yes,party atmosphere,high,gpt-4o-mini,Party
364,workout music,Workout Music,339,yes,workout session,high,gpt-4o-mini,Workout
365,birthday,birthday,338,yes,birthday celebration,high,gpt-4o-mini,Party
370,workout mix,workout mix,334,yes,workout session,high,gpt-4o-mini,Workout
371,motivation,Motivation,333,yes,motivational boost,high,gpt-4o-mini,Other_Purpose
372,party time,Party time,333,yes,party atmosphere,high,gpt-4o-mini,Party
373,christmas songs,Christmas songs,330,yes,Christmas celebration,high,gpt-4o-mini,Party
374,sing along,sing along,330,yes,singing along,mid,gpt-4o-mini,Other_Purpose
377,lift,lift,328,yes,lifting weights,high,gpt-4o-mini,Workout
379,zumba,Zumba,325,yes,Zumba workout,high,gpt-4o-mini,Workout
386,house party,house party,321,yes,house party,high,gpt-4o-mini,Party
389,christmas!,Christmas!,319,yes,Christmas celebration,high,gpt-4o-mini,Party
391,game day,Game Day,316,yes,game day,high,gpt-4o-mini,Gaming
394,friday,friday,315,yes,Friday vibe,mid,gpt-4o-mini,Other_Purpose
400,sleepy time,Sleepy Time,312,yes,for relaxation and sleep,high,gpt-4o-mini,Sleep/Relax
403,on the road,on the road,310,yes,for road trips,high,gpt-4o-mini,Driving
406,warm up,Warm Up,309,yes,for warming up,high,gpt-4o-mini,Other_Purpose
409,car music,car music,306,yes,for driving,high,gpt-4o-mini,Driving
414,snowboarding,Snowboarding,303,yes,for snowboarding,high,gpt-4o-mini,Other_Purpose
415,meditation,MEDITATION,302,yes,for meditation,high,gpt-4o-mini,Sleep/Relax
417,volleyball,Volleyball,302,yes,for playing volleyball,high,gpt-4o-mini,Other_Purpose
423,good morning,Good Morning,299,yes,for morning routines,high,gpt-4o-mini,DailyRoutine
434,football,football,287,yes,for football games,high,gpt-4o-mini,Gaming
435,breathe,breathe,285,yes,for breathing exercises,mid,gpt-4o-mini,Workout
441,4th of july,4th of july,283,yes,4th of July celebration,high,gpt-4o-mini,Party
452,pool party,Pool Party,277,yes,Pool party atmosphere,high,gpt-4o-mini,Party
453,work it out,Work It Out,277,yes,Workout motivation,high,gpt-4o-mini,Workout
459,sexy time,Sexy time,273,yes,Romantic setting,mid,gpt-4o-mini,Romance/Wedding
461,bbq,BBQ,272,yes,Barbecue gathering,high,gpt-4o-mini,Party
462,fiesta,Fiesta,272,yes,Fiesta celebration,high,gpt-4o-mini,Party
463,my high-intensity workout,My High-Intensity Workout,272,yes,High-intensity workout,high,gpt-4o-mini,Workout
466,wake up,wake up,271,yes,Morning routine,high,gpt-4o-mini,DailyRoutine
479,gameday,Gameday,265,yes,Game day atmosphere,high,gpt-4o-mini,Gaming
481,get pumped,Get pumped,264,yes,motivational for workouts,high,gpt-4o-mini,Workout
488,writing,writing,262,yes,for writing sessions,mid,gpt-4o-mini,Other_Purpose
495,chill songs,Chill Songs,258,yes,for relaxation,mid,gpt-4o-mini,Sleep/Relax
497,soccer,Soccer,258,yes,for soccer games,high,gpt-4o-mini,Gaming
498,cruising,Cruising,257,yes,for driving,high,gpt-4o-mini,Driving
499,halloween party,halloween party,257,yes,for Halloween parties,high,gpt-4o-mini,Party
504,karaoke,karaoke,254,yes,for karaoke,high,gpt-4o-mini,Other_Purpose
517,graduation,GRADUATION,250,yes,for graduation celebrations,high,gpt-4o-mini,Party
521,road trippin',Road Trippin',248,yes,road trip music,high,gpt-4o-mini,Driving
524,half marathon,Half marathon,246,yes,training for a marathon,high,gpt-4o-mini,Workout
529,weekend,weekend,246,yes,weekend vibes,mid,gpt-4o-mini,Other_Purpose
532,get lit,Get LIT,245,yes,party atmosphere,mid,gpt-4o-mini,Party
533,ski,Ski,245,yes,skiing music,high,gpt-4o-mini,Other_Purpose
534,dancing,Dancing,244,yes,dancing music,high,gpt-4o-mini,Party
535,party bus,Party bus,244,yes,party transportation,high,gpt-4o-mini,Party
539,slow it down,slow it down,242,yes,relaxing music,mid,gpt-4o-mini,Sleep/Relax
540,tailgate,tailgate,242,yes,tailgating music,high,gpt-4o-mini,Other_Purpose
541,car songs,car songs,241,yes,music for driving,high,gpt-4o-mini,Driving
544,dinner party,Dinner Party,240,yes,social gathering,high,gpt-4o-mini,Party
546,wedding dinner,Wedding Dinner,240,yes,wedding dinner music,high,gpt-4o-mini,DailyRoutine
548,happy songs,happy songs,239,yes,feel-good songs,mid,gpt-4o-mini,Other_Purpose
556,christmas playlist,Christmas Playlist,237,yes,holiday music,high,gpt-4o-mini,Holiday
557,rock out,Rock Out,237,yes,energetic music,mid,gpt-4o-mini,Other_Purpose
560,praise and worship,Praise and Worship,236,yes,worship context,high,gpt-4o-mini,Worship
567,prayer,Prayer,233,yes,spiritual context,high,gpt-4o-mini,Worship
576,holiday,Holiday,230,yes,holiday context,high,gpt-4o-mini,Holiday
584,senior year,SENIOR YEAR,227,yes,graduation context,high,gpt-4o-mini,Other_Purpose
585,slow down,Slow Down,227,yes,slow down context,mid,gpt-4o-mini,Other_Purpose
590,baseball,Baseball,224,yes,baseball context,high,gpt-4o-mini,Other_Purpose
591,camping,camping,224,yes,camping context,high,gpt-4o-mini,Other_Purpose
595,road,Road,222,yes,road trip context,high,gpt-4o-mini,Driving
601,workout 2,workout 2,220,yes,for workout sessions,high,gpt-4o-mini,Workout
603,car tunes,car tunes,219,yes,for car rides,high,gpt-4o-mini,Driving
604,thanksgiving,Thanksgiving,219,yes,for Thanksgiving celebration,high,gpt-4o-mini,Party
611,shower songs,Shower songs,217,yes,for shower time,high,gpt-4o-mini,DailyRoutine
612,softball,softball,217,yes,for playing softball,high,gpt-4o-mini,Other_Purpose
613,beast mode,BEAST MODE,216,yes,for intense workouts,high,gpt-4o-mini,Workout
626,skiing,Skiing,211,yes,for skiing activities,high,gpt-4o-mini,Other_Purpose
627,work playlist,work playlist,211,yes,for work environment,high,gpt-4o-mini,Other_Purpose
628,zzz,Zzz,211,yes,for sleep time,high,gpt-4o-mini,Sleep/Relax
641,dinner music,Dinner Music,208,yes,background music for dinner,high,gpt-4o-mini,DailyRoutine
643,marathon,Marathon,208,yes,for running a marathon,high,gpt-4o-mini,Workout
644,bus,Bus,207,yes,music for bus rides,mid,gpt-4o-mini,Other_Purpose
647,driving music,driving music,207,yes,music for driving,high,gpt-4o-mini,Driving
651,wedding music,WEDDING MUSIC,207,yes,music for weddings,high,gpt-4o-mini,Romance/Wedding
652,christmas 2016,Christmas 2016,206,yes,music for Christmas,high,gpt-4o-mini,Holiday
659,bonfire,Bonfire,204,yes,music for bonfire gatherings,mid,gpt-4o-mini,Party
672,wedding dance,wedding dance,202,yes,music for wedding dances,high,gpt-4o-mini,Party
677,hockey,Hockey,200,yes,music for hockey games,mid,gpt-4o-mini,Gaming
683,roadtrippin,roadtrippin,199,yes,road trip music,high,gpt-4o-mini,Driving
687,christmas party,Christmas Party,198,yes,Christmas party music,high,gpt-4o-mini,Party
691,graduation party,GRADUATION PARTY,197,yes,graduation celebration,high,gpt-4o-mini,Party
696,class,Class,195,yes,for studying or class,high,gpt-4o-mini,Study/Focus
700,relaxation,relaxation,195,yes,for relaxation,high,gpt-4o-mini,Sleep/Relax
701,work it,work it,195,yes,workout music,high,gpt-4o-mini,Workout
712,concert,concert,191,yes,for concert atmosphere,high,gpt-4o-mini,Other_Purpose
714,bday,bday,190,yes,birthday celebration,high,gpt-4o-mini,Party
725,red bull editions coachella playlist,Red Bull Editions Coachella Playlist,188,yes,Coachella event playlist,high,gpt-4o-mini,Other_Purpose
728,coffee,coffee,187,yes,Coffee time music,mid,gpt-4o-mini,Other_Purpose
730,summer songs,Summer Songs,187,yes,Summer listening,high,gpt-4o-mini,Seasonal/Summer
731,new years,New years,186,yes,New Year's celebration,high,gpt-4o-mini,Party
736,car jamz,Car Jamz,184,yes,Car ride music,high,gpt-4o-mini,Driving
737,party songs,party songs,184,yes,Party atmosphere,high,gpt-4o-mini,Party
744,mornings,Mornings,182,yes,Morning playlist,high,gpt-4o-mini,DailyRoutine
748,saturday,Saturday,180,yes,Saturday vibes,high,gpt-4o-mini,Other_Purpose
752,bedtime,bedtime,179,yes,Bedtime music,high,gpt-4o-mini,Sleep/Relax
754,calm down,calm down,179,yes,Calming music,mid,gpt-4o-mini,Sleep/Relax
764,christmas time,Christmas Time,177,yes,Christmas celebration music,high,gpt-4o-mini,Party
767,study time,study time,177,yes,Studying background music,high,gpt-4o-mini,Study/Focus
770,poolside,Poolside,176,yes,Music for relaxing by the pool,mid,gpt-4o-mini,Sleep/Relax
771,riding,Riding,176,yes,Music for riding,mid,gpt-4o-mini,Other_Purpose
774,rehearsal dinner,Rehearsal Dinner,175,yes,Music for rehearsal dinner,high,gpt-4o-mini,DailyRoutine
779,sweat,Sweat,174,yes,Workout music,high,gpt-4o-mini,Workout
785,summer chill,Summer Chill,173,yes,Chill music for summer,high,gpt-4o-mini,Sleep/Relax
786,throwback thursday,Throwback Thursday,173,yes,Throwback Thursday playlist,mid,gpt-4o-mini,Other_Purpose
789,drivin,drivin,172,yes,Music for driving,high,gpt-4o-mini,Driving
791,running playlist,Running Playlist,172,yes,Playlist for running,high,gpt-4o-mini,Workout
793,airplane,Airplane,171,yes,Music for airplane travel,mid,gpt-4o-mini,Party
795,christmas🎄,Christmas🎄,171,yes,Christmas music,high,gpt-4o-mini,Holiday
799,cruisin',cruisin',170,yes,Music for cruising,high,gpt-4o-mini,Driving
804,work music,work music,170,yes,for working,high,gpt-4o-mini,Study/Focus
806,finals,finals,169,yes,for studying,high,gpt-4o-mini,Study/Focus
822,bed,bed,164,yes,for sleeping,high,gpt-4o-mini,Sleep/Relax
827,wedding ceremony,wedding ceremony,164,yes,for wedding,high,gpt-4o-mini,Romance/Wedding
836,get turnt,get turnt,162,yes,for partying,high,gpt-4o-mini,Party
839,running mix,Running Mix,162,yes,for running,high,gpt-4o-mini,Workout
848,summer '15,Summer '15,160,yes,summer listening,high,gpt-4o-mini,Seasonal/Summer
849,current jams,Current jams,159,yes,current favorites,high,gpt-4o-mini,Other_Purpose
852,practice,Practice,159,yes,practice sessions,high,gpt-4o-mini,Other_Purpose
854,unwind,Unwind,159,yes,relaxing time,high,gpt-4o-mini,Sleep/Relax
856,chill pill,Chill pill,158,yes,chill out,high,gpt-4o-mini,Sleep/Relax
862,vacation,VACATION,158,yes,vacation vibes,high,gpt-4o-mini,Seasonal/Summer
866,christmas jams,Christmas Jams,156,yes,Christmas celebration,high,gpt-4o-mini,Party
870,summer jamz,summer jamz,156,yes,summer party,high,gpt-4o-mini,Party
876,summer 2k15,SUMMER 2K15,155,yes,summer nostalgia,high,gpt-4o-mini,Seasonal/Summer
878,exercise,Exercise,154,yes,exercise motivation,high,gpt-4o-mini,Workout
881,monday,Monday,154,yes,Monday listening,mid,gpt-4o-mini,Other_Purpose
887,adventure,adventure,153,yes,adventurous listening,mid,gpt-4o-mini,Other_Purpose
888,beachin,beachin,153,yes,beach listening,mid,gpt-4o-mini,Seasonal/Summer
899,shower playlist,shower playlist,152,yes,shower listening,high,gpt-4o-mini,DailyRoutine
902,commute,Commute,151,yes,commuting,high,gpt-4o-mini,Driving
903,cooking,Cooking,151,yes,cooking,high,gpt-4o-mini,DailyRoutine
905,get hype,Get Hype,151,yes,getting hyped,mid,gpt-4o-mini,Other_Purpose
920,kickback,kickback,149,yes,relaxing situation,high,gpt-4o-mini,Sleep/Relax
925,quiet time,Quiet Time,149,yes,quiet time,high,gpt-4o-mini,Other_Purpose
927,smoke,smoke,149,yes,smoking situation,mid,gpt-4o-mini,Other_Purpose
928,soothing,soothing,149,yes,calming situation,mid,gpt-4o-mini,Sleep/Relax
931,engagement party,Engagement Party,148,yes,celebration event,high,gpt-4o-mini,Party
950,feel good songs,Feel Good Songs,146,yes,uplifting situation,high,gpt-4o-mini,Workout
953,run run run,Run Run Run,146,yes,running activity,high,gpt-4o-mini,Workout
954,420,420,145,yes,smoking situation,mid,gpt-4o-mini,Other_Purpose
957,get down,GET DOWN,145,yes,party situation,high,gpt-4o-mini,Party
972,crossfit,Crossfit,144,yes,for exercising,high,gpt-4o-mini,Workout
975,reading,Reading,144,yes,for reading,high,gpt-4o-mini,Study/Focus
977,shower jams,shower jams,144,yes,for showering,high,gpt-4o-mini,DailyRoutine
979,working out,Working Out,144,yes,for working out,high,gpt-4o-mini,Workout
981,bike,bike,143,yes,for biking,high,gpt-4o-mini,Other_Purpose
990,baby shower,Baby shower,142,yes,for a baby shower,high,gpt-4o-mini,DailyRoutine
992,coffee shop,Coffee Shop,142,yes,for coffee shop ambiance,high,gpt-4o-mini,Other_Purpose
996,road trip!,Road Trip!,142,yes,for road trips,high,gpt-4o-mini,Driving
1006,going out,Going Out,140,yes,Going out situation,high,gpt-4o-mini,Other_Purpose
1008,pre,pre,140,yes,Pre-event context,mid,gpt-4o-mini,Other_Purpose
1020,grind,Grind,139,yes,Grind session,mid,gpt-4o-mini,Other_Purpose
1023,tis the season,tis the season,139,yes,Seasonal context,high,gpt-4o-mini,Other_Purpose
1024,work mix,Work Mix,139,yes,Work situation,high,gpt-4o-mini,Other_Purpose
1028,friendsgiving,FRIENDSGIVING,138,yes,Thanksgiving gathering,high,gpt-4o-mini,Party
1035,walking,walking,138,yes,Walking activity,mid,gpt-4o-mini,Other_Purpose
1041,country faves,Country Faves,137,yes,country music favorites,mid,gpt-4o-mini,Other_Purpose
1044,just chill,just chill,137,yes,relaxing or downtime,mid,gpt-4o-mini,Sleep/Relax
1046,new workout,New Workout,137,yes,workout music,high,gpt-4o-mini,Workout
1052,for dad,For dad,136,yes,music for dad,mid,gpt-4o-mini,Other_Purpose
1059,cool down,Cool Down,135,yes,cool down music,mid,gpt-4o-mini,Other_Purpose
1062,movie soundtracks,Movie Soundtracks,135,yes,movie soundtracks,mid,gpt-4o-mini,Other_Purpose
1067,training,training,135,yes,training music,high,gpt-4o-mini,Workout
1073,savasana,Savasana,134,yes,yoga or relaxation,mid,gpt-4o-mini,Sleep/Relax
1075,workout jams,Workout jams,134,yes,music for workouts,high,gpt-4o-mini,Workout
1078,hangout,Hangout,133,yes,music for hanging out,mid,gpt-4o-mini,Other_Purpose
1089,baby making music,Baby Making Music,132,yes,romantic listening,high,gpt-4o-mini,Romance/Wedding
1091,country summer,Country summer,132,yes,summer vibes,high,gpt-4o-mini,Seasonal/Summer
1104,warmup,Warmup,131,yes,pre-workout,high,gpt-4o-mini,Workout
1114,twerkout,Twerkout,130,yes,workout playlist,high,gpt-4o-mini,Workout
1118,fall '16,Fall '16,129,yes,seasonal listening,high,gpt-4o-mini,Seasonal/Summer
1127,birthday playlist,Birthday Playlist,128,yes,celebrating a birthday,high,gpt-4o-mini,Party
1130,game time,Game Time,128,yes,for gaming sessions,high,gpt-4o-mini,Gaming
1139,birthday party,birthday party,127,yes,for a birthday party,high,gpt-4o-mini,Party
1147,party jams,party jams,126,yes,for parties,high,gpt-4o-mini,Party
1148,sundays,Sundays,126,yes,for Sundays,mid,gpt-4o-mini,Other_Purpose
1150,werkout,werkout,126,yes,for workouts,high,gpt-4o-mini,Workout
1158,jam sesh,jam sesh,125,yes,for jam sessions,high,gpt-4o-mini,Other_Purpose
1167,christmas 2015,Christmas 2015,124,yes,Christmas event,high,gpt-4o-mini,Holiday
1168,christmas favorites,Christmas Favorites,124,yes,Christmas favorites,high,gpt-4o-mini,Holiday
1170,happy hour,Happy Hour,124,yes,social gathering,high,gpt-4o-mini,Party
1176,songs to learn,songs to learn,124,yes,learning songs,high,gpt-4o-mini,Other_Purpose
1181,gym playlist,Gym Playlist,123,yes,workout,high,gpt-4o-mini,Workout
1184,road trip playlist,Road Trip Playlist,123,yes,road trip,high,gpt-4o-mini,Driving
1186,take it easy,take it easy,123,yes,relaxing,mid,gpt-4o-mini,Sleep/Relax
1191,middle school dance,middle school dance,122,yes,school dance,high,gpt-4o-mini,Party
1200,summer tunes,summer tunes,121,yes,summer listening,high,gpt-4o-mini,Seasonal/Summer
1206,golf,golf,120,yes,golf activity,high,gpt-4o-mini,Other_Purpose
1210,new year,new year,120,yes,new year celebration,high,gpt-4o-mini,Party
1211,run!,run!,120,yes,running motivation,high,gpt-4o-mini,Workout
1212,spooky,spooky,120,yes,spooky vibes,mid,gpt-4o-mini,Other_Purpose
1214,sunday funday,sunday funday,120,yes,Sunday fun,high,gpt-4o-mini,Other_Purpose
1225,roadtrippin',roadtrippin',119,yes,road trip music,high,gpt-4o-mini,Driving
1226,school playlist,School Playlist,119,yes,school listening,high,gpt-4o-mini,Other_Purpose
1228,work jams,work jams,119,yes,work motivation,high,gpt-4o-mini,Other_Purpose
1233,fall '17,fall '17,118,yes,fall season,high,gpt-4o-mini,Seasonal/Summer
1237,turnup,TurnUp,118,yes,party vibes,mid,gpt-4o-mini,Party
1238,work flow,work flow,118,yes,work productivity,high,gpt-4o-mini,Other_Purpose
1245,dance mix,Dance mix,117,yes,dance party,high,gpt-4o-mini,Party
1246,get ready,Get Ready,117,yes,getting ready,high,gpt-4o-mini,Other_Purpose
1247,gym time,Gym Time,117,yes,workout,high,gpt-4o-mini,Workout
1252,shower music,shower music,117,yes,shower time,high,gpt-4o-mini,DailyRoutine
1253,skate,skate,117,yes,skating,high,gpt-4o-mini,Other_Purpose
1264,pumped up,Pumped Up,116,yes,motivational,high,gpt-4o-mini,Other_Purpose
1273,surf,surf,115,yes,surfing,high,gpt-4o-mini,Other_Purpose
1279,darty,darty,114,yes,party,high,gpt-4o-mini,Party
1281,jam out,Jam Out,114,yes,for energetic listening,high,gpt-4o-mini,Other_Purpose
1286,party hardy,Party Hardy,114,yes,for a party atmosphere,high,gpt-4o-mini,Party
1290,boating,boating,113,yes,for a boating experience,high,gpt-4o-mini,Other_Purpose
1295,partyyy,Partyyy,113,yes,for a party vibe,high,gpt-4o-mini,Party
1297,shred,SHRED,113,yes,for intense workouts,high,gpt-4o-mini,Workout
1306,pump it up,Pump it up,112,yes,for energizing workouts,high,gpt-4o-mini,Workout
1309,shower time,shower time,112,yes,for shower time,high,gpt-4o-mini,DailyRoutine
1317,lets go,Lets go,111,yes,for motivation,mid,gpt-4o-mini,Other_Purpose
1330,good day,Good Day,110,yes,positive mood for the day,high,gpt-4o-mini,Other_Purpose
1332,grad,grad,110,yes,celebrating graduation,high,gpt-4o-mini,Party
1340,party party,party party,110,yes,for a lively party atmosphere,high,gpt-4o-mini,Party
1342,sweet 16,Sweet 16,110,yes,celebrating a Sweet 16,high,gpt-4o-mini,Party
1343,back to school,back to school,109,yes,for back to school season,high,gpt-4o-mini,Other_Purpose
1351,sunday mornings,Sunday Mornings,109,yes,relaxing Sunday mornings,high,gpt-4o-mini,Sleep/Relax
1353,bridal shower,Bridal shower,108,yes,for a bridal shower event,high,gpt-4o-mini,DailyRoutine
1357,fun times,fun times,108,yes,for fun social gatherings,high,gpt-4o-mini,Party
1362,thursday,THURSDAY,108,yes,Thursday listening,mid,gpt-4o-mini,Other_Purpose
1363,chill country,Chill Country,107,yes,Chill country vibes,mid,gpt-4o-mini,Sleep/Relax
1368,holidays,Holidays,107,yes,Holiday music,high,gpt-4o-mini,Holiday
1374,chillaxin,Chillaxin,106,yes,Relaxing music,mid,gpt-4o-mini,Sleep/Relax
1375,christmas 🎄,christmas 🎄,106,yes,Christmas music,high,gpt-4o-mini,Holiday
1380,housewarming,housewarming,106,yes,Housewarming party,mid,gpt-4o-mini,Party
1387,4th,4th,105,yes,4th of July music,mid,gpt-4o-mini,Other_Purpose
1391,hype music,hype music,105,yes,Hype music,mid,gpt-4o-mini,Other_Purpose
1405,biking,biking,104,yes,for biking,high,gpt-4o-mini,Other_Purpose
1407,christmas mix,Christmas Mix,104,yes,for Christmas,high,gpt-4o-mini,Holiday
1416,bath,bath,103,yes,for bath,high,gpt-4o-mini,Other_Purpose
1422,locker room,locker room,103,yes,for locker room,high,gpt-4o-mini,Other_Purpose
1427,study playlist,Study Playlist,103,yes,for studying,high,gpt-4o-mini,Study/Focus
1438,coffee house,coffee house,102,yes,for coffee house,high,gpt-4o-mini,Other_Purpose
